paper_id,title,doi,journal_id,publication_date,publication_year,volume,issue,abstract,keywords,pdf_url,citation_count
1,Continual Learning as Computationally Constrained RL,10.1561/2200000116,23,2025-08-20,2025,Volume 18,Issue 5,"An agent that accumulates knowledge to develop increasingly sophisticated skills over a long lifetime could advance the frontier of artificial intelligence capabilities. The design of such agents, which remains a long-standing challenge, is addressed by the subject of continual learning. This monograph clarifies and formalizes concepts of continual learning, introducing a framework and tools to stimulate further research. We also present a range of empirical case studies to illustrate the roles of forgetting, relearning, exploration, and auxiliary learning. Metrics presented in previous literature for evaluating continual learning agents tend to focus on particular behaviors that are deemed desirable, such as avoiding catastrophic forgetting, retaining plasticity, relearning quickly, and maintaining low memory or compute footprints. In order to systematically reason about design choices and compare agents, a coherent, holistic objective that encompasses all such requirements would be helpful. To provide such an objective, we cast continual learning as reinforcement learning with limited compute resources. In particular, we pose the continual learning objective to be the maximization of infinite-horizon average reward subject to a computational constraint. Continual supervised learning, for example, is a special case of our general formulation where the reward is taken to be negative log-loss or accuracy. Among the implications of maximizing average reward are that remembering all information from the past is unnecessary, forgetting nonrecurring information is not “catastrophic,” and learning about how an environment changes over time is useful. Computational constraints give rise to informational constraints in the sense that they limit the amount of information used to make decisions. A consequence is that, unlike in more common framings of machine learning in which per-timestep regret vanishes as an agent accumulates information, the regret experienced in continual learning typically persists. Related to this is that even in stationary environments, informational constraints can incentivize perpetual adaptation. Informational constraints also give rise to the familiar stability-plasticity dilemma, which we formalize in information-theoretic terms.","Reinforcement learning,  Online learning,  Evaluation,  Information theory and computer science",https://www.nowpublishers.com/article/Details/MAL-116,0
2,Enhancing Federated Reinforcement Learning: A Consensus-based Approach for Both Homogeneous and Heterogeneous Agents,10.1007/s11633-025-1550-8,1,2025-09-27,2025,Volume 22,Issue 5,"Federated reinforcement learning (FedRL) is an emerging paradigm in data-driven control where a group of decision-making agents cooperate to learn optimal control laws through a distributed reinforcement learning procedure, with the peculiarity of having the constraints of not sharing any process/control data. In the typical FedRL setting, a centralized entity is responsible for orchestrating the distributed training process. To remove this design limitation, this work proposes a solution to enable a fully decentralized approach leveraging results from consensus theory. The proposed algorithm, named FedRLCon, can then deal with: 1) scenarios with homogeneous agents, which can share their actor and, possibly, the critic networks; 2) scenarios with heterogeneous agents, in which agents may share their critic network only. The proposed algorithms are validated on two scenarios, consisting of a resource management problem in a communication network and a smart grid case study. Our tests show that practically no performance is lost for the decentralization.","Reinforcement learning, federated learning, distributed control, control systems, intelligent control",https://www.mi-research.net/article/doi/10.1007/s11633-025-1550-8,0
3,A Survey on Personalized Content Synthesis with Diffusion Models,10.1007/s11633-025-1563-3,1,2025-09-27,2025,Volume 22,Issue 5,"Recent advancements in diffusion models have significantly impacted content creation, leading to the emergence of personalized content synthesis (PCS). By utilizing a small set of user-provided examples featuring the same subject, PCS aims to tailor this subject to specific user-defined prompts. Over the past two years, more than 150 methods have been introduced in this area. However, existing surveys primarily focus on text-to-image generation, with few providing up-to-date summaries on PCS. This paper provides a comprehensive survey of PCS, introducing the general frameworks of PCS research, which can be categorized into test-time fine-tuning (TTF) and pre-trained adaptation (PTA) approaches. We analyze the strengths, limitations and key techniques of these methodologies. Additionally, we explore specialized tasks within the field, such as object, face and style personalization, while highlighting their unique challenges and innovations. Despite the promising progress, we also discuss ongoing challenges, including overfitting and the trade-off between subject fidelity and text alignment. Through this detailed overview and analysis, we propose future directions to further the development of PCS.","Generative models, image synthesis, diffusion models, personalized content synthesis, subject customization.",https://link.springer.com/article/10.1007/s11633-025-1563-3,0
4,Anomaly Detection Based on Isolation Mechanisms: A Survey,10.1007/s11633-025-1554-4,1,2025-09-06,2025,Volume 22,Issue 5,"Anomaly detection is a longstanding and active research area that has many applications in domains such as finance, security and manufacturing. However, the efficiency and performance of anomaly detection algorithms are challenged by the large-scale, high-dimensional and heterogeneous data that are prevalent in the era of big data. Isolation-based unsupervised anomaly detection is a novel and effective approach for identifying anomalies in data. It relies on the idea that anomalies are few and different from normal instances, and thus can be easily isolated by random partitioning. Isolation-based methods have several advantages over existing methods, such as low computational complexity, low memory usage, high scalability, robustness to noise and irrelevant features, and no need for prior knowledge or heavy parameter tuning. In this survey, we review the state-of-the-art isolation-based anomaly detection methods, including their data partitioning strategies, anomaly score functions, and algorithmic details. We also discuss some extensions and applications of isolation-based methods in different scenarios, such as detecting anomalies in streaming data, time series, trajectory and image datasets. Finally, we identify some open challenges and future directions for isolation-based anomaly detection research.","Isolation forest, isolation kernel, anomaly detection, isolation-based methods, machine learning",https://link.springer.com/article/10.1007/s11633-025-1554-4,0
5,Enabling Neuroprostheses via Machine Learning,10.1007/s11633-025-1571-3,1,2025-08-28,2025,Volume 22,Issue 5,"Neuroprostheses aim to repair and replace damaged sensory brain functions such as vision, hearing and touch, improve cognitive functions such as memory, and control arms through electrical stimulations in motor cortex or peripheral nerves. Through review of the progress and status of different neuroprostheses, we found an increasing role of machine learning in achieving complex prosthetic functions with groundbreaking results. This article provides a perspective on the role of machine learning in neuroprostheses designs and envisions future involvement of machine learning for more capable neuroprostheses in revolutionizing the treatment of neurological disorders and disabilities.","Neuroprostheses, machine learning, brain machine interface, neural signal decoding, brain stimulations",https://link.springer.com/article/10.1007/s11633-025-1571-3,0
6,Multimodal Learning-based Prediction for Nonalcoholic Fatty Liver Disease,10.1007/s11633-024-1506-4,1,2025-03-20,2025,Volume 22,Issue 5,"Nonalcoholic fatty liver disease (NAFLD) is the most common cause of chronic liver disease, and if it is accurately predicted, severe fibrosis and cirrhosis can be prevented. While liver biopsies, the gold standard for NAFLD diagnosis, is intrusive, expensive, and prone to sample errors, noninvasive studies are extremely promising but are still in their infancy due to a dearth of comprehensive study data and sophisticated multimodal data methodologies. This paper proposes a novel approach for diagnosing NAFLD by integrating a comprehensive clinical dataset with a multimodal learning-based prediction method. The dataset comprises physical examinations, laboratory and imaging studies, detailed questionnaires, and facial photographs of a substantial number of participants, totaling more than 6 000. This comprehensive collection of data holds significant value for clinical studies. The dataset is subjected to quantitative analysis to identify which clinical metadata, such as metadata and facial images, has the greatest impact on the prediction of NAFLD. Furthermore, a multimodal learning-based prediction method (DeepFLD) is proposed that incorporates several modalities and demonstrates superior performance compared to the methodology that relies only on metadata. Additionally, satisfactory performance is assessed through verification of the results using other unseen data. Inspiringly, the proposed DeepFLD prediction method can achieve competitive results by solely utilizing facial images as input rather than relying on metadata, paving the way for a more robust and simpler noninvasive NAFLD diagnosis.",,https://link.springer.com/article/10.1007/s11633-024-1506-4,0
7,Exploring Salient Embeddings for Gait Recognition,10.1007/s11633-025-1545-5,1,2025-09-27,2025,Volume 22,Issue 5,"Gait recognition aims to identify individuals based on their unique walking patterns captured from video sequences. This paper explores salient embeddings for gait recognition, proposing methods to extract discriminative gait features that are robust to various covariates such as viewing angles, clothing variations, and carrying conditions. The proposed approach focuses on learning salient feature representations that capture the essential characteristics of individual gait patterns, enabling more accurate person identification in surveillance and security applications.","Gait recognition, salient embeddings, feature extraction, biometric identification, person recognition",https://link.springer.com/article/10.1007/s11633-025-1545-5,0
8,RULER: Source-free Domain Adaptive Person Re-identification via Uncertain Label Refinery,10.1007/s11633-025-1543-7,1,2025-09-05,2025,Volume 22,Issue 5,"Source-free domain adaptive person re-identification (SF-ReID) aims to adapt a model trained on a source domain to an unlabeled target domain without accessing source data, which protects data privacy and reduces storage costs. However, existing SF-ReID methods face two main challenges: 1) the quality of pseudo labels generated by the source model is often poor due to domain shift; 2) the model tends to overfit on incorrect pseudo labels. To alleviate these two problems, we propose a source-free domain adaptive person ReID method via the uncertain label refinery (RULER). RULER consists of two key components: uncertain label generation and label refinement. The former generates pseudo labels with uncertainty estimates, while the latter refines the labels through iterative training.","Person re-identification, source-free domain adaptation, uncertain label refinery, pseudo labels, domain shift",https://link.springer.com/article/10.1007/s11633-025-1543-7,0
9,Prompting Large Language Models for Automatic Question Tagging,10.1007/s11633-024-1509-1,1,2025-01-16,2025,Volume 22,Issue 5,"Automatic question tagging is an important task in community question answering platforms, which helps organize and retrieve questions efficiently. This paper investigates prompting large language models (LLMs) for automatic question tagging. We explore different prompting strategies to leverage the knowledge and reasoning capabilities of LLMs for predicting relevant tags for questions. The proposed approach demonstrates the effectiveness of LLMs in understanding question semantics and generating appropriate tags without extensive fine-tuning.","Large language models, question tagging, prompting, natural language processing, community question answering",https://link.springer.com/article/10.1007/s11633-024-1509-1,0
10,Enhancing Federated Reinforcement Learning: A Consensus-based Approach for Both Homogeneous and Heterogeneous Agents,10.1007/s11633-025-1550-8,1,2025-09-27,2025,Volume 22,Issue 5,"Federated reinforcement learning (FedRL) is an emerging paradigm in data-driven control where a group of decision-making agents cooperate to learn optimal control laws through a distributed reinforcement learning procedure, with the peculiarity of having the constraints of not sharing any process/control data. In the typical FedRL setting, a centralized entity is responsible for orchestrating the distributed training process. To remove this design limitation, this work proposes a solution to enable a fully decentralized approach leveraging results from consensus theory. The proposed algorithm, named FedRLCon, can then deal with: 1) scenarios with homogeneous agents, which can share their actor and, possibly, the critic networks; 2) scenarios with heterogeneous agents, in which agents may share their critic network only. The proposed algorithms are validated on two scenarios, consisting of a resource management problem in a communication network and a smart grid case study. Our tests show that practically no performance is lost for the decentralization.","Reinforcement learning, federated learning, distributed control, control systems, intelligent control",https://link.springer.com/article/10.1007/s11633-025-1550-8,0
